n_flux,W_72h,W_168h,W_480h,A72,width_CV,non_monotonic,forward_chi2
-2.0,12.080536912751679,32.214765100671144,92.61744966442954,22.469937389445956,0.7498558108224682,False,162.80280068680298
-1.9,12.080536912751679,30.2013422818792,90.60402684563759,22.54762283819018,0.7578787272969574,False,154.118518379932
-1.8,14.093959731543626,30.2013422818792,88.59060402684565,22.62394988078446,0.7225223647009917,False,139.02264942036325
-1.7,14.093959731543626,30.2013422818792,86.5771812080537,22.69882965807835,0.71235919401786,False,130.6100498154769
-1.6,14.093959731543626,30.2013422818792,84.56375838926175,22.772182039469943,0.7019086701630063,False,122.5259736021539
-1.5,14.093959731543626,30.2013422818792,82.55033557046981,22.843935697693215,0.6911600335580076,False,114.77040955361056
-1.4,14.093959731543626,30.2013422818792,80.53691275167786,22.91402703350827,0.6801022142680004,False,107.3433456634205
-1.2999999999999998,14.093959731543626,28.18791946308725,76.51006711409397,22.982399640242058,0.6749934831098263,False,93.92772561212573
-1.2,14.093959731543626,28.18791946308725,74.49664429530202,23.049004724803805,0.6628407857496925,False,87.48586045576943
-1.1,14.093959731543626,28.18791946308725,72.48322147651007,23.113799680065735,0.6503071225561627,False,81.37245635372946
-1.0,14.093959731543626,28.18791946308725,70.46979865771813,23.176747565196653,0.6373774391990982,False,75.58749973322863
-0.8999999999999999,14.093959731543626,28.18791946308725,66.44295302013424,23.237818030581742,0.6102687797512623,False,65.00391904879176
-0.7999999999999998,14.093959731543626,28.18791946308725,64.42953020134229,23.2969842740741,0.596059207506842,False,60.20405320394953
-0.7,14.093959731543626,26.174496644295303,62.416107382550344,23.354225771089542,0.5998846486579748,False,56.249596208813905
-0.5999999999999999,14.093959731543626,26.174496644295303,60.4026845637584,23.409524438211776,0.5844655678480982,False,52.106530512249506
-0.5,14.093959731543626,26.174496644295303,56.3758389261745,23.462867695026937,0.5519850541454905,False,44.805971037672805
-0.3999999999999999,14.093959731543626,26.174496644295303,54.36241610738256,23.514244866852383,0.534885322977725,False,41.647890194272385
-0.2999999999999998,14.093959731543626,26.174496644295303,52.348993288590606,23.563649729791738,0.517190315363927,False,38.818164727484344
-0.19999999999999996,16.107382550335572,26.174496644295303,50.33557046979866,23.61107760143183,0.46523770780505863,False,30.663408837116865
-0.09999999999999987,16.107382550335572,24.161073825503358,48.322147651006716,23.656527431627417,0.46354722850843494,False,29.0731652122728
0.0,16.107382550335572,24.161073825503358,44.29530201342283,23.70000002088444,0.420560041253707,False,25.711982424606877
0.10000000000000009,16.107382550335572,24.161073825503358,42.281879194630875,23.741497899193394,0.39779283976341684,False,24.52380056970962
0.20000000000000018,16.107382550335572,24.161073825503358,40.26845637583893,23.7810259153338,0.3741657386773941,False,23.663919149800563
0.30000000000000027,16.107382550335572,24.161073825503358,38.255033557046985,23.818590871425787,0.34969696658938093,False,23.13232866334565
0.40000000000000036,16.107382550335572,24.161073825503358,36.241610738255034,23.85420043762555,0.32444284226152503,False,22.92902012895379
0.5,16.107382550335572,22.147651006711413,34.22818791946309,23.887864061503237,0.31180478223116176,False,23.702595750527987
0.6000000000000001,16.107382550335572,22.147651006711413,32.214765100671144,23.919593102901025,0.282842712474619,False,24.15582629324921
0.7000000000000002,16.107382550335572,22.147651006711413,30.2013422818792,23.94939911754434,0.2530095666777243,False,24.9373150161846
0.8000000000000003,16.107382550335572,22.147651006711413,28.18791946308725,23.977295350460853,0.22268088570756162,False,26.047055050738486
0.9000000000000004,16.107382550335572,22.147651006711413,26.174496644295303,24.003296113909173,0.1926379375927805,False,27.48504005052729
1.0,16.107382550335572,22.147651006711413,24.161073825503358,24.0274168235164,0.16448450043847695,False,29.251264186826813
1.1,16.107382550335572,20.134228187919465,22.147651006711413,24.049673381264814,0.1290226685094463,False,32.060137051563245
1.2000000000000002,16.107382550335572,20.134228187919465,22.147651006711413,24.070083062674033,0.1290226685094463,False,32.060436847475756
1.3000000000000003,16.107382550335572,20.134228187919465,20.134228187919465,24.08866358910385,0.10101525445522108,False,34.48311170218528
1.4000000000000004,18.120805369127517,20.134228187919465,18.120805369127517,24.105433737377535,0.050507627227610576,True,32.281995319225736
1.5,18.120805369127517,20.134228187919465,16.107382550335572,24.120412935521824,0.09072184232530288,True,35.3611084013274
1.6,18.120805369127517,20.134228187919465,16.107382550335572,24.13362149410499,0.09072184232530288,True,35.36133861691507
1.7000000000000002,18.120805369127517,20.134228187919465,14.093959731543626,24.145080277167438,0.14390989949130542,True,38.76864146633847
1.8000000000000003,18.120805369127517,18.120805369127517,12.080536912751679,24.154810702492835,0.1767766952966368,True,43.28437344753085
1.9000000000000004,18.120805369127517,18.120805369127517,12.080536912751679,24.162835123279763,0.1767766952966368,True,43.28452372459695
2.0,18.120805369127517,18.120805369127517,10.067114093959733,24.169176231666693,0.24595018476053823,True,47.3482151794393
2.1000000000000005,18.120805369127517,18.120805369127517,8.053691275167786,24.17385741032034,0.3214121732666125,True,51.74011285449953
2.2,18.120805369127517,18.120805369127517,8.053691275167786,24.17690265050027,0.3214121732666125,True,51.74017194210644
2.3,18.120805369127517,18.120805369127517,6.0402684563758395,24.178336483102953,0.4040610178208842,True,56.46024421738707
2.4000000000000004,18.120805369127517,18.120805369127517,6.0402684563758395,24.178183870268953,0.4040610178208842,True,56.46024123825887
2.5,18.120805369127517,16.107382550335572,4.026845637583893,24.176470408604985,0.488085183973458,True,62.35451235678545
2.6000000000000005,18.120805369127517,16.107382550335572,4.026845637583893,24.17322199112374,0.488085183973458,True,62.354449397654975
2.7,18.120805369127517,16.107382550335572,2.0134228187919465,24.16846512193431,0.5931710140017395,True,67.73087578310002
2.8000000000000007,18.120805369127517,16.107382550335572,2.0134228187919465,24.162226539570714,0.5931710140017395,True,67.73075728929214
2.9000000000000004,18.120805369127517,16.107382550335572,0.0,24.154533495617205,0.7107674102114454,True,73.43536790073532
3.0,20.134228187919465,16.107382550335572,0.0,24.1454135959348,0.7200822998230958,True,69.18455020082898
