closure,param,truth,repl_mean,repl_sd,rel_sd
flux,D_Ni_eff_nm2_h,3.8,3.866300054945321,1.4067850862148945,0.37020660163549857
flux,r_Ni,0.29,0.28302068438620165,0.11591100334672332,0.39969311498870114
flux,phi_ol_supply,0.57,0.7849605671421631,0.17112826917486315,0.3002250336401108
flux,n_flux,1.5,1.2786270682422347,0.40850460003149053,0.2723364000209937
trap,D_Ni_eff_nm2_h,3.8,4.988701801120139,2.116408498957813,0.5569496049888982
trap,r_Ni,0.29,0.37856455268509864,0.22705687319573148,0.7829547351576948
trap,phi_ol_supply,0.57,0.5634584355194698,0.2660467483752537,0.4667486813600943
trap,S_cap,1124.6826503806983,2114.478777023848,2018.553518909916,1.7947760803695583
