A_bl,b3,PBR_eff,L0,L_ol0
7.266087199883318748e-01,-1.252637631165715026e-02,2.055035807305697126e+00,1.914323857056587919e+00,1.160197003986546349e+01
6.655859652125092341e-01,-1.228011699967903811e-02,2.205403700064745565e-01,1.885788939779173834e+00,1.385058220885499054e+02
8.132975816633608579e-01,-1.439898640302745940e-02,1.666576945912094931e+00,1.953391168307948345e+00,1.021385181795355658e-07
5.544407920158117564e-01,-9.406681341662719020e-03,2.330748561235325977e-01,1.929958683854289481e+00,2.637275017178562280e+02
8.132092587882987500e-01,-1.455974155292063220e-02,1.533638614918360510e+00,1.915545453523865849e+00,7.864299306441549220e+01
6.770517856706463888e-01,-1.181863672827966442e-02,2.418094828521757389e-01,1.937152833464901303e+00,6.748676272585457525e+01
8.303756859699591431e-01,-1.295131184546132429e-02,1.996796339046178037e+00,1.898995970405021438e+00,8.649342683095484574e+01
5.768239711276642590e-01,-9.768803879498813569e-03,2.358507427463995665e+00,1.957813525470428084e+00,5.318992325508040239e-10
5.802382947868739427e-01,-9.195560593553980464e-03,1.636111861342421703e+00,1.875088298994276093e+00,1.239332523698014370e+02
9.334992297502844316e-01,-1.461554441753468506e-02,1.455466472018624335e+00,1.957866311475568111e+00,7.156148323630858954e+01
6.506488463908702835e-01,-1.153883924505001192e-02,1.463514075458911989e+00,1.911614394273607909e+00,7.268220062000964710e+00
7.970098185626658394e-01,-1.380057652927761495e-02,2.274203802166579802e+00,1.887150901500245448e+00,6.136254049249209430e+01
8.130184963208938465e-01,-1.337099821916265877e-02,2.170664262867634253e+00,1.954155532580439392e+00,8.551636648522126904e+00
6.590894593874578877e-01,-1.009867964475131240e-02,2.289260385857927460e+00,1.905576210880230548e+00,4.231950651635218044e-09
7.789650727905552685e-01,-1.383087154108584606e-02,1.028178188187766295e+00,1.901964057752625337e+00,1.283726725812502707e+02
7.211871033291680222e-01,-1.306194291936723165e-02,2.024016039522145149e-01,1.962868616250546872e+00,2.277196272691838601e+02
7.640767922487823327e-01,-1.373758486218622753e-02,2.221934321500588894e+00,1.907003021727246006e+00,4.664392879392184454e+01
7.756311536385724903e-01,-1.250754696978180480e-02,1.415338282915473034e+00,1.954789175471817408e+00,1.222338748962726811e+02
5.728452282297653575e-01,-1.027154081434966150e-02,8.546130055380551962e-09,1.956029599563746224e+00,2.658512640762111232e+02
7.536283820773810316e-01,-1.296986549574146233e-02,2.696201516400669629e+00,1.881918569467747826e+00,7.680713165396694464e+00
4.893974067383721205e-01,-7.639251567804415145e-03,4.748244003259222829e-02,1.847789319531696561e+00,1.944941929410417174e+02
7.325482145900462649e-01,-1.271787692647518946e-02,5.176329476620291636e-01,1.913500589904533200e+00,1.599006203027240645e+02
5.916474339803844407e-01,-9.832325430460782736e-03,1.379428936844777409e+00,1.971838838125183235e+00,1.560475278735173106e+02
7.898185056133286697e-01,-1.316936106393786637e-02,1.063378929301364684e+00,1.922900300965362463e+00,1.322810279382835006e+02
6.055920546578448249e-01,-9.388283596517445553e-03,9.545116667166170243e-01,1.851215653128120309e+00,8.356041672361928363e+01
7.023930873318667834e-01,-1.278937540532063336e-02,6.110584040787768734e-01,1.917833102069845364e+00,9.367838057008610519e+01
5.784614872663531582e-01,-1.072111573076861731e-02,9.302748960879406651e-11,1.921314691917052508e+00,2.041092812694647591e+02
6.488913721346043495e-01,-1.155669855815721729e-02,1.785519843166386122e+00,1.913153611051671144e+00,4.371520264416538737e+01
7.813505968460995321e-01,-1.254291133811042368e-02,3.053771774827605423e+00,1.926930708910031820e+00,1.806459800051095363e-08
9.053822616451119298e-01,-1.476468938140126919e-02,1.626247696607250992e+00,1.903146302771656417e+00,9.713367631172991423e+01
6.970019151464281748e-01,-1.091550173328866002e-02,1.036301952994119757e+00,1.934533858412120333e+00,1.058042793932253716e+02
6.556441315826518901e-01,-1.086021515519799627e-02,1.626061392798608063e+00,1.901773192234033294e+00,4.817610179783094537e+01
6.158153627973707023e-01,-1.024479385581725070e-02,3.005501046590580927e+00,1.967502894240754641e+00,2.631056941990704701e+01
5.424897196833275981e-01,-9.625433553755186750e-03,9.246695285175193819e-12,1.940204153176479096e+00,2.209080515446258346e+02
7.064642955786183398e-01,-1.257100090909785833e-02,2.714082898899769614e+00,1.929278310281211439e+00,2.638876752848781848e+01
6.235964583979539677e-01,-1.026335910353657135e-02,7.164900143488499573e-01,1.884221368828677523e+00,7.964479418747956174e+01
6.090002589407617073e-01,-1.077514791177384447e-02,1.027742469279678605e+00,1.886530990112671224e+00,1.496948708621417836e+02
6.656261516443384707e-01,-1.152304006137294494e-02,1.454843155117649944e+00,1.934115934883561705e+00,8.282964043093832629e+01
7.971391240694615243e-01,-1.260765268012908717e-02,1.169610937523909211e+00,1.932158647241499771e+00,9.372320078914344776e+01
6.973309377589995695e-01,-1.143721877716023620e-02,6.394213273165741672e-09,1.950031505355972694e+00,2.039388310234218125e+02
6.422246642241969949e-01,-1.134752091760531101e-02,1.548540414310805025e+00,1.930137903581227832e+00,6.549659211085760546e+01
