PBR_eff,chi2,dchi2_vs_M4,C_x_nm_per_h,L_ol0_nm,A_bl,b3,oxide_ug_dm2_h,Fe_ug_dm2_h,note
1.096,5.784222051227308,-0.007361044038276532,-0.024874422296156294,120.1608498838995,0.7264202029978608,-0.0124787643678388,1.2926589144722551,0.9353633476126706,"fitted value imposed, C_x free"
2.053,5.671274534017619,-0.12030856124796596,-0.24096785847606778,93.5475423589165,0.726794116957619,-0.012484699632222686,12.522471744339184,9.06121557669541,"FeCr2O4 mass balance, iron-only"
2.156,5.660924981975923,-0.1306581132896616,-0.264225821943658,90.68334684862897,0.7268129778920849,-0.012484998894655094,13.731127505301169,9.935794544145843,"FeCr2O4 mass balance, Tier-2 Ni routing"
2.433,5.63483450445131,-0.15674859081427517,-0.3267762026830161,82.98185478402792,0.7268433004588412,-0.0124854801765473,16.98170781240077,12.287902779111924,M1/M2 optimum (no initial precipitate)
